Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Aaron Judge,NYY,157,696,62,133,131,16,15.90%,25.10%,0.375,0.34,0.311,0.425,0.686,0.458,0.463,207,2.1,86.1,0.5,11.4,15640
Manny Machado,SDP,150,644,32,100,102,9,9.80%,20.70%,0.234,0.337,0.298,0.366,0.531,0.382,0.338,152,3,41.9,6.9,7.4,11493
Nolan Arenado,STL,148,620,30,73,103,5,8.40%,11.60%,0.241,0.29,0.293,0.358,0.533,0.381,0.339,151,-1.6,35.4,13.5,7.3,9777
Paul Goldschmidt,STL,151,651,35,106,115,7,12.10%,21.70%,0.26,0.368,0.317,0.404,0.578,0.419,0.367,177,3,61.7,-15.8,7.1,9218
Freddie Freeman,LAD,159,708,21,117,100,13,11.90%,14.40%,0.186,0.359,0.325,0.407,0.511,0.393,0.403,157,5.4,52.6,-8.8,7.1,5361
Francisco Lindor,NYM,161,706,26,98,107,16,8.40%,18.80%,0.179,0.301,0.27,0.339,0.449,0.342,0.331,127,3.3,25.4,15.9,6.8,12916
Yordan Alvarez,HOU,135,561,37,95,97,1,13.90%,18.90%,0.306,0.32,0.306,0.406,0.613,0.427,0.462,185,-0.6,52.9,-7.5,6.6,19556
Mookie Betts,LAD,142,639,35,117,82,12,8.60%,16.30%,0.264,0.272,0.269,0.34,0.533,0.373,0.344,144,4.3,37.3,4.1,6.6,13611
Jose Altuve,HOU,141,604,28,103,57,18,10.90%,14.40%,0.233,0.315,0.3,0.387,0.533,0.397,0.354,164,-1.5,41.9,1.6,6.6,5417
J.T. Realmuto,PHI,139,562,22,75,84,21,7.30%,21.20%,0.202,0.318,0.276,0.342,0.478,0.354,0.351,128,6.6,24.9,18,6.5,11739
Dansby Swanson,ATL,162,696,25,99,96,18,7.00%,26.10%,0.17,0.348,0.277,0.329,0.447,0.337,0.337,116,3.1,15.8,21.4,6.4,18314
Trea Turner,LAD,160,708,21,101,100,27,6.40%,18.50%,0.169,0.342,0.298,0.343,0.466,0.35,0.335,128,6.5,29.6,7.1,6.3,16252
Jose Ramirez,CLE,157,685,29,90,126,20,10.10%,12.00%,0.235,0.279,0.28,0.355,0.514,0.363,0.32,139,6,36,1,6.2,13510
Andres Gimenez,CLE,146,557,17,66,69,20,6.10%,20.10%,0.169,0.353,0.297,0.371,0.466,0.364,0.326,140,3.4,28.4,12,6.1,19950
Xander Bogaerts,BOS,150,631,15,84,73,8,9.00%,18.70%,0.149,0.362,0.307,0.377,0.456,0.363,0.323,134,4.7,28.7,9,6.1,12161
Mike Trout,LAA,119,499,40,85,80,1,10.80%,27.90%,0.347,0.323,0.283,0.369,0.63,0.418,0.395,176,-0.3,42.4,-0.7,6,10155
Jeff McNeil,NYM,148,589,9,73,62,4,6.80%,10.40%,0.128,0.353,0.326,0.382,0.454,0.365,0.323,143,2,31.4,4.6,5.9,15362
Tommy Edman,STL,153,630,13,95,57,32,7.30%,17.60%,0.135,0.308,0.265,0.324,0.4,0.318,0.308,108,8.4,14.2,18.4,5.6,19470
Austin Riley,ATL,159,693,38,90,93,2,8.20%,24.20%,0.255,0.315,0.273,0.349,0.528,0.377,0.378,142,-1.7,32.5,-3.1,5.5,18360
Alex Bregman,HOU,155,656,23,93,93,1,13.30%,11.70%,0.195,0.26,0.259,0.366,0.454,0.358,0.35,136,-3,23.7,7.7,5.5,17678
Brandon Nimmo,NYM,151,673,16,102,64,3,10.50%,17.20%,0.159,0.317,0.274,0.367,0.433,0.353,0.342,134,-0.3,26.6,1.9,5.4,12927
Julio Rodriguez,SEA,132,560,28,84,75,25,7.10%,25.90%,0.225,0.345,0.284,0.345,0.509,0.366,0.337,146,4.3,33.4,-0.5,5.3,23697
Adley Rutschman,BAL,113,470,13,70,42,4,13.80%,18.30%,0.191,0.291,0.254,0.362,0.445,0.354,0.342,133,5,22.5,13.1,5.3,26288
Sean Murphy,OAK,148,612,18,67,66,1,9.20%,20.30%,0.177,0.29,0.25,0.332,0.426,0.331,0.344,122,-1.4,13.8,15,5.1,19352
Rafael Devers,BOS,141,614,27,84,88,3,8.10%,18.60%,0.225,0.329,0.295,0.358,0.521,0.373,0.361,141,-1.2,26.8,0.1,4.9,17350
Michael Harris II,ATL,114,441,19,75,64,20,4.80%,24.30%,0.217,0.361,0.297,0.339,0.514,0.368,0.335,136,5.9,24.4,6.7,4.8,25931
Kyle Tucker,HOU,150,609,30,71,107,25,9.70%,15.60%,0.221,0.261,0.257,0.33,0.478,0.348,0.353,129,4,23.9,1.6,4.7,18345
Willy Adames,MIL,139,617,31,83,98,8,7.90%,26.90%,0.22,0.278,0.238,0.298,0.458,0.325,0.323,109,2.4,8.8,14.8,4.7,15986
Daulton Varsho,ARI,151,592,27,79,74,16,7.80%,24.50%,0.207,0.269,0.235,0.302,0.443,0.323,0.298,106,3.4,7.7,16.4,4.6,19918
Corey Seager,TEX,151,663,33,91,83,3,8.70%,15.50%,0.211,0.242,0.245,0.317,0.455,0.331,0.372,117,2.6,15.1,6.7,4.5,13624
Bo Bichette,TOR,159,697,24,91,93,13,5.90%,22.20%,0.179,0.347,0.29,0.333,0.469,0.347,0.334,129,-2.7,20.1,0.2,4.5,19612
Steven Kwan,CLE,147,638,6,89,52,19,9.70%,9.40%,0.101,0.323,0.298,0.373,0.4,0.341,0.312,124,4.9,22,-0.7,4.4,24610
Carlos Correa,MIN,136,590,22,70,64,0,10.30%,20.50%,0.176,0.339,0.291,0.366,0.467,0.362,0.363,140,-6,20.7,2,4.4,14162
George Springer,TOR,133,583,25,89,76,14,9.30%,17.20%,0.205,0.285,0.267,0.342,0.472,0.352,0.342,132,4.6,25.7,-4.1,4.2,12856
Cal Raleigh,SEA,119,415,27,46,63,1,9.20%,29.40%,0.278,0.226,0.211,0.284,0.489,0.33,0.324,121,-1,8.7,18,4.2,21534
Marcus Semien,TEX,161,724,26,101,83,25,7.30%,16.60%,0.181,0.263,0.248,0.304,0.429,0.317,0.306,107,7,12.6,4.1,4.2,12533
Matt Chapman,TOR,155,621,27,83,76,2,11.00%,27.40%,0.204,0.277,0.229,0.324,0.433,0.331,0.341,117,3.1,15.1,4.6,4.1,16505
Jake Cronenworth,SDP,158,684,17,88,88,3,10.20%,19.20%,0.152,0.275,0.239,0.332,0.39,0.318,0.303,109,6.8,13.7,2.3,4.1,18036
Eugenio Suarez,SEA,150,629,31,76,87,0,11.60%,31.20%,0.223,0.302,0.236,0.332,0.459,0.344,0.339,131,-2.5,19.3,-0.3,4.1,12552
Christian Walker,ARI,160,667,36,84,94,2,10.30%,19.60%,0.235,0.248,0.242,0.327,0.477,0.346,0.359,122,-0.3,16.9,-0.4,4.1,13419
Byron Buxton,MIN,92,382,28,61,51,6,8.90%,30.40%,0.303,0.244,0.224,0.306,0.526,0.356,0.358,136,4.3,19.6,6.2,4,14161
Nico Hoerner,CHC,135,517,10,60,55,20,5.40%,11.00%,0.129,0.3,0.281,0.327,0.41,0.32,0.301,106,2.3,6,14.3,4,21479
Pete Alonso,NYM,160,685,40,95,131,5,9.80%,18.70%,0.246,0.279,0.271,0.352,0.518,0.366,0.354,143,-2.5,32,-17.4,4,19251
Will Smith,LAD,137,578,24,68,87,1,9.70%,16.60%,0.205,0.276,0.26,0.343,0.465,0.349,0.352,127,-3.6,14.9,3,3.9,19197
Travis d'Arnaud,ATL,107,426,18,61,60,0,4.50%,21.10%,0.205,0.306,0.268,0.319,0.472,0.343,0.313,120,-3.6,6.1,16.8,3.9,7739
Jose Abreu,CHW,157,679,15,85,75,0,9.10%,16.20%,0.141,0.35,0.304,0.378,0.446,0.361,0.373,138,-1.7,26.9,-11.7,3.9,15676
Taylor Ward,LAA,135,564,23,73,65,5,10.60%,21.30%,0.192,0.325,0.281,0.36,0.473,0.362,0.361,137,0.7,23.9,-5.2,3.8,17548
Shohei Ohtani,LAA,157,666,34,90,95,11,10.80%,24.20%,0.246,0.32,0.273,0.356,0.519,0.37,0.385,142,0.3,31.8,-16.4,3.8,19755
Juan Soto,- - -,153,664,27,93,62,6,20.30%,14.50%,0.21,0.249,0.242,0.401,0.452,0.376,0.401,145,-2.4,32,-17.7,3.8,20123
Alejandro Kirk,TOR,139,541,14,59,63,0,11.60%,10.70%,0.13,0.299,0.285,0.372,0.415,0.347,0.351,129,-7.1,10.4,8.8,3.8,22581
Adolis Garcia,TEX,156,657,27,88,101,25,6.10%,27.90%,0.207,0.309,0.25,0.3,0.456,0.324,0.322,112,6,14.8,0.5,3.8,19287
Yandy Diaz,TBR,137,558,9,71,57,3,14.00%,10.80%,0.127,0.323,0.296,0.401,0.423,0.366,0.365,146,-5.3,23.9,-5.7,3.8,16578
Jose Trevino,NYY,115,353,11,39,43,2,4.20%,17.60%,0.14,0.274,0.248,0.283,0.388,0.293,0.281,91,-1.2,-4.9,29,3.7,16725
Ha-seong Kim,SDP,150,582,11,58,59,12,8.80%,17.20%,0.132,0.29,0.251,0.325,0.383,0.313,0.309,105,1.9,5.4,10,3.7,27506
Elvis Andrus,- - -,149,577,17,66,58,18,6.80%,15.90%,0.155,0.272,0.249,0.303,0.404,0.31,0.293,105,6,9.3,6.1,3.5,8709
Ian Happ,CHC,158,641,17,72,72,9,9.00%,23.20%,0.169,0.336,0.271,0.342,0.44,0.339,0.306,120,0.7,15.2,-3.6,3.5,17919
Jeremy Pena,HOU,136,558,22,72,63,11,3.90%,24.20%,0.173,0.298,0.253,0.289,0.426,0.309,0.3,102,3.7,4.9,10,3.4,21636
Cedric Mullins II,BAL,156,672,16,89,64,34,7.00%,18.80%,0.145,0.299,0.258,0.318,0.403,0.315,0.288,106,3.3,7.6,3,3.4,17929
Willson Contreras,CHC,113,487,22,65,55,4,9.20%,21.10%,0.224,0.27,0.243,0.349,0.466,0.357,0.364,132,-2.8,15.2,-0.4,3.3,11609
Luis Arraez,MIN,144,603,8,88,49,4,8.30%,7.10%,0.104,0.331,0.316,0.375,0.42,0.35,0.333,131,-0.2,21,-10.1,3.2,18568
Matt Olson,ATL,162,699,34,86,103,0,10.70%,24.30%,0.237,0.274,0.24,0.325,0.477,0.344,0.347,120,-0.8,15.4,-9.4,3.1,14344
Ryan McMahon,COL,153,597,20,67,67,7,10.10%,26.50%,0.168,0.311,0.246,0.327,0.414,0.326,0.33,95,2.1,-1.3,10.4,3.1,15112
Ke'Bryan Hayes,PIT,136,560,7,55,41,20,8.60%,21.80%,0.101,0.307,0.244,0.314,0.345,0.294,0.303,88,0.9,-6.8,16.7,3,18577
Nathaniel Lowe,TEX,157,645,27,74,76,2,7.40%,22.80%,0.191,0.363,0.302,0.358,0.492,0.368,0.344,143,-3.9,27.3,-19.1,3,19566
Gavin Lux,LAD,129,471,6,66,42,7,10.00%,20.20%,0.124,0.341,0.276,0.346,0.399,0.328,0.314,113,3.2,10.5,1.9,3,19955
Starling Marte,NYM,118,505,16,76,63,18,5.10%,19.20%,0.176,0.34,0.292,0.347,0.468,0.355,0.336,136,-0.2,20.8,-9.6,3,9241
Brandon Drury,- - -,138,568,28,87,87,2,6.70%,22.20%,0.23,0.293,0.263,0.32,0.492,0.35,0.316,123,-3.6,11.5,-2.4,3,11615
DJ LeMahieu,NYY,125,541,12,74,46,4,12.40%,13.10%,0.116,0.285,0.261,0.357,0.377,0.329,0.344,116,-4,6,4.9,3,9874
Bryan Reynolds,PIT,145,614,27,74,62,7,9.10%,23.00%,0.199,0.306,0.262,0.345,0.461,0.349,0.329,125,-2.1,16,-9.3,2.9,19326
Jonah Heim,TEX,127,450,16,51,48,2,9.10%,19.30%,0.172,0.249,0.227,0.298,0.399,0.306,0.291,99,-1.8,-2.4,15.1,2.8,16930
Andrew Benintendi,- - -,126,521,5,54,51,8,10.00%,14.80%,0.095,0.352,0.304,0.373,0.399,0.342,0.334,122,0.6,13.6,-3.5,2.8,17901
Mark Canha,NYM,140,542,13,71,61,3,8.90%,17.90%,0.136,0.309,0.266,0.367,0.403,0.343,0.323,128,-1,16.7,-8.3,2.8,11445
Vladimir Guerrero Jr.,TOR,160,706,32,90,97,8,8.20%,16.40%,0.205,0.289,0.274,0.339,0.48,0.351,0.348,132,-6,19.3,-15.1,2.8,19611
Jorge Mateo,BAL,150,533,13,63,50,35,5.10%,27.60%,0.158,0.286,0.221,0.267,0.379,0.281,0.272,82,5.8,-5.1,14.5,2.8,17273
Randy Arozarena,TBR,153,645,20,72,89,32,7.10%,24.20%,0.183,0.325,0.263,0.327,0.445,0.336,0.301,125,-4.3,13.8,-8.3,2.7,19290
Gleyber Torres,NYY,140,572,24,73,76,10,6.80%,22.60%,0.194,0.295,0.257,0.31,0.451,0.328,0.319,115,-0.2,9.8,-2,2.7,16997
Brendan Donovan,STL,126,468,5,64,45,2,12.80%,15.00%,0.097,0.33,0.281,0.394,0.379,0.349,0.339,129,-1.9,14,-3.8,2.7,24679
Thairo Estrada,SFG,140,541,14,71,62,21,6.10%,16.50%,0.139,0.29,0.26,0.322,0.4,0.317,0.299,106,2.4,6.2,1.5,2.7,16426
Josh Rojas,ARI,125,510,9,66,56,23,10.80%,19.20%,0.122,0.323,0.269,0.349,0.391,0.326,0.308,108,6.2,11.3,-2.9,2.7,19734
Lars Nootbaar,STL,108,347,14,53,40,4,14.70%,20.50%,0.221,0.248,0.228,0.34,0.448,0.342,0.346,125,1.4,11.3,2.4,2.7,21454
Kyle Schwarber,PHI,155,669,46,100,94,10,12.90%,29.90%,0.286,0.24,0.218,0.323,0.504,0.355,0.375,128,-0.8,21.3,-18.7,2.6,16478
Ramon Urias,BAL,118,445,16,50,51,1,6.70%,22.00%,0.166,0.287,0.248,0.305,0.414,0.313,0.32,104,0,2.2,8.5,2.6,18795
Danny Jansen,TOR,72,248,15,34,44,1,10.10%,17.70%,0.256,0.255,0.26,0.339,0.516,0.364,0.368,140,0.8,12,4.8,2.6,16535
Jazz Chisholm Jr.,MIA,60,241,14,39,45,12,8.70%,27.40%,0.282,0.294,0.254,0.325,0.535,0.365,0.345,139,3.1,14.1,2.4,2.6,20454
Hunter Renfroe,MIL,125,522,29,62,72,1,7.50%,23.20%,0.236,0.281,0.255,0.315,0.492,0.347,0.323,124,-1.6,12.9,-6.2,2.5,15464
Trayce Thompson,- - -,80,255,13,36,41,4,12.50%,36.50%,0.251,0.374,0.256,0.353,0.507,0.37,0.366,142,3.2,15.8,-0.2,2.5,9952
Anthony Santander,BAL,152,647,33,78,89,0,8.50%,18.90%,0.214,0.248,0.24,0.318,0.455,0.336,0.352,120,0.3,15,-11.6,2.5,14551
Jurickson Profar,SDP,152,658,15,82,58,5,11.10%,15.70%,0.148,0.272,0.243,0.331,0.391,0.32,0.315,110,-1.4,6.3,-4.6,2.5,10815
Kolten Wong,MIL,134,497,15,65,47,17,9.30%,17.70%,0.179,0.28,0.251,0.339,0.43,0.336,0.305,117,3.4,13,-6,2.5,12532
William Contreras,ATL,97,376,20,51,45,2,10.40%,27.70%,0.228,0.344,0.278,0.354,0.506,0.37,0.347,138,-2.6,14,-3.4,2.4,20503
Teoscar Hernandez,TOR,131,535,25,71,77,6,6.40%,28.40%,0.224,0.335,0.267,0.316,0.491,0.348,0.351,129,-2.5,15,-8.9,2.4,13066
Anthony Rizzo,NYY,130,548,32,77,75,6,10.60%,18.40%,0.256,0.216,0.224,0.338,0.48,0.352,0.349,133,-3.6,16.4,-10.9,2.4,3473
Dylan Carlson,STL,128,488,8,56,42,5,9.20%,19.30%,0.144,0.281,0.236,0.316,0.38,0.306,0.301,100,3.8,4,2.6,2.4,20126
Isaac Paredes,TBR,111,381,20,48,45,0,11.50%,17.60%,0.23,0.195,0.205,0.304,0.435,0.323,0.297,116,-0.7,6.2,4.6,2.4,20036
Justin Turner,LAD,128,532,13,61,81,3,9.40%,16.70%,0.16,0.313,0.278,0.35,0.438,0.343,0.339,123,-3.1,11.4,-6.4,2.4,5235
Ty France,SEA,140,613,20,65,83,0,5.70%,15.30%,0.162,0.296,0.274,0.338,0.436,0.337,0.321,126,-2.8,14.9,-11.6,2.4,17982
Amed Rosario,CLE,153,670,11,86,71,18,3.70%,16.60%,0.121,0.326,0.283,0.312,0.403,0.311,0.31,103,1.5,3.5,-2.2,2.4,15518
Max Muncy,LAD,136,565,21,69,69,2,15.90%,25.00%,0.188,0.227,0.196,0.329,0.384,0.318,0.339,106,2.1,6.3,-2.7,2.4,13301
Trevor Story,BOS,94,396,16,53,66,13,8.10%,30.80%,0.196,0.309,0.238,0.303,0.434,0.316,0.301,100,2.9,3.1,6.9,2.4,12564
Gio Urshela,MIN,144,551,13,61,64,1,7.40%,17.40%,0.144,0.326,0.285,0.338,0.429,0.332,0.323,119,-6.2,5.6,-0.7,2.4,10681
Bryce Harper,PHI,99,426,18,63,65,11,10.80%,20.40%,0.227,0.324,0.286,0.364,0.514,0.369,0.38,138,-0.9,18.1,-10,2.4,11579
Jake McCarthy,ARI,99,354,8,53,43,23,6.50%,21.50%,0.143,0.349,0.283,0.342,0.427,0.337,0.298,116,7.7,14.3,-3.9,2.3,21622
Jon Berti,MIA,102,404,4,47,28,41,10.40%,22.00%,0.098,0.308,0.24,0.324,0.338,0.298,0.306,93,8,4.9,3.7,2.3,12037
Eduardo Escobar,NYM,136,542,20,58,69,0,7.40%,23.80%,0.19,0.281,0.24,0.295,0.43,0.311,0.314,106,3.1,7,-3,2.3,6153
Wander Franco,TBR,83,344,6,46,33,8,7.60%,9.60%,0.14,0.29,0.277,0.328,0.417,0.323,0.331,116,4,10.3,0.9,2.3,23667
Bobby Witt Jr.,KCR,150,632,20,82,80,30,4.70%,21.40%,0.174,0.295,0.254,0.294,0.428,0.311,0.313,99,6.8,6.3,-4.3,2.3,25764
Santiago Espinal,TOR,135,491,7,51,51,6,7.30%,13.80%,0.102,0.3,0.267,0.322,0.37,0.305,0.298,99,-1.5,-1.9,8.2,2.3,19997
Luis Urias,MIL,119,472,16,54,47,1,10.60%,21.00%,0.165,0.274,0.239,0.335,0.404,0.327,0.326,110,0.2,5.9,0,2.3,16622
Christian Yelich,MIL,154,671,14,99,57,19,13.10%,24.10%,0.13,0.327,0.252,0.355,0.383,0.328,0.339,111,3.4,11.9,-12.9,2.3,11477
Rhys Hoskins,PHI,156,672,30,81,79,2,10.70%,25.10%,0.216,0.292,0.246,0.332,0.462,0.345,0.338,122,-3.4,13.8,-15.1,2.2,16472
Jace Peterson,MIL,113,328,8,44,34,12,10.10%,25.90%,0.146,0.303,0.236,0.316,0.382,0.306,0.303,96,5.2,3.7,6.4,2.2,12325
Mike Yastrzemski,SFG,148,558,17,73,57,5,10.90%,25.30%,0.177,0.261,0.214,0.305,0.392,0.307,0.314,99,2.6,1.8,0.4,2.2,14854
Ronald Acuna Jr.,ATL,119,533,15,71,50,29,9.90%,23.60%,0.148,0.331,0.266,0.351,0.413,0.335,0.366,114,4.8,13.7,-10.7,2.2,18401
Trent Grisham,SDP,152,524,17,58,53,7,10.90%,28.60%,0.157,0.231,0.184,0.284,0.341,0.28,0.295,83,5.8,-4.6,7.4,2.1,18564
Austin Slater,SFG,125,325,7,49,34,12,12.30%,27.40%,0.144,0.361,0.264,0.366,0.408,0.344,0.351,124,3.5,12.7,-3.2,2.1,16153
Dylan Moore,SEA,104,255,6,41,24,21,13.30%,29.40%,0.161,0.32,0.224,0.368,0.385,0.338,0.322,126,2.5,10.1,2.1,2.1,18042
Luis Robert,CHW,98,401,12,54,56,11,4.20%,19.20%,0.142,0.329,0.284,0.319,0.426,0.324,0.327,111,4.4,9.5,-2.5,2.1,20043
Tyrone Taylor,MIL,120,405,17,49,51,3,5.40%,25.20%,0.209,0.272,0.233,0.286,0.442,0.314,0.307,102,1.2,2.1,4,2.1,13675
